domain,behavior,n,std_log_odds_later_vs_earlier,se,odds_ratio_per_sd,p_value,q_value
moral,verification,2902,-0.13791299571669702,0.07626287890007025,0.8711744843602531,0.07054588817943784,0.21499699254685817
idea,verification,2496,0.05326990958579,0.06588673918957925,1.054714284199795,0.41879860557680204,0.609161608111712
safety,verification,1594,-0.0659771125709592,0.191145183308599,0.9361522901655389,0.7299684207104815,0.8397262693533707
security,verification,2238,0.19377562883234925,0.0746119360341594,1.2138239053135733,0.009401099160779304,0.049118785259644734
math,backtracking,2767,-0.09678660078690346,0.04575584491598845,0.9077496985369907,0.03440576024136757,0.12952756796750145
code,backtracking,871,0.10603174631129438,0.0957125604940832,1.111857173310195,0.2679420089763358,0.5554266613159258
gpqa,backtracking,2620,0.02665468683836711,0.04662972423848646,1.027013100384582,0.5675764803240269,0.7268903404520889
planning,backtracking,2817,-0.3147782565615884,0.06553878960987265,0.7299507181065931,1.5636010936186813e-06,2.50176174978989e-05
moral,backtracking,2902,0.04179973530113633,0.06525066920950585,1.0426856447137705,0.5217810398395824,0.6957080531194432
idea,backtracking,2496,-0.08267976246452488,0.04421986827941514,0.920645925400282,0.061519599083202064,0.2072239127013122
safety,backtracking,1594,0.024345555736385076,0.15974822027827779,1.024644328447359,0.878871817644584,0.937463272154223
security,backtracking,2238,-0.05183574314293858,0.050478005977072526,0.9494848134261721,0.3044686849885647,0.5720798437519846
math,subgoal,2767,-0.08021459785666335,0.043733653661274144,0.9229182688515177,0.06662997682126733,0.21321592582805543
code,subgoal,871,-0.4420985457014811,0.14964590956887724,0.6426862983626789,0.003133816809550518,0.025070534476404144
gpqa,subgoal,2620,0.10238130321950274,0.06721526266124579,1.1078058011235896,0.12771234084262087,0.2919139219259906
planning,subgoal,2817,0.29817461918357674,0.10713726465824526,1.3473970487110287,0.005384081731267749,0.0344581230801136
moral,subgoal,2902,-0.029648051252518095,0.051907399081017686,0.970787140749127,0.5678830784781944,0.7268903404520889
idea,subgoal,2496,0.039817244314469,0.04803512310145482,1.0406205774861368,0.4071500299440899,0.609161608111712
safety,subgoal,1594,-0.15369384321299767,0.1458058615684897,0.8575345208399989,0.2918374987096476,0.5659878762853772
security,subgoal,2238,-0.012856602758555593,0.05243312173263526,0.9872256903113996,0.8063015570481065,0.8897120629496347
math,backward_chaining,2767,-0.02637533754263089,0.05814947302824482,0.973969453693252,0.6501323945760709,0.8158524167229124
code,backward_chaining,871,-0.01007555986147831,0.08566884143657566,0.9899750285470443,0.9063762424806618,0.9509521232583993
gpqa,backward_chaining,2620,0.015576449897593091,0.04301374478556136,1.0156983951285108,0.7172569274053641,0.8397262693533707
planning,backward_chaining,2817,0.021865453245206414,0.08663737330726176,1.0221062541389672,0.8007481339645264,0.8897120629496347
moral,backward_chaining,2902,-0.16980933296176376,0.10583322800450738,0.8438256910044644,0.10860405380443752,0.27802637773936006
idea,backward_chaining,2496,-0.017628610157384025,0.04312478020361048,0.9825258647328574,0.6827000546731599,0.8243925188506082
safety,backward_chaining,1594,-0.09771087656177971,0.06390007256105695,0.9069110751003472,0.1262347073945755,0.2919139219259906
security,backward_chaining,2238,-0.04599949148502739,0.04941331119451856,0.9550424478439754,0.351898593169616,0.609161608111712
