level_0,level_1,correlation
Perspective_Shift__rate,motif__backtracking_to_subgoal__rate,0.1932316196812948
Perspective_Shift__rate,motif__reconciliation_to_verification__rate,-0.059944409397367074
Perspective_Shift__rate,motif__conflict_verification_backtracking__rate,0.0652937084966085
Perspective_Shift__rate,motif__verification_backtracking_subgoal__rate,0.0707109811048642
Perspective_Shift__rate,motif__perspective_conflict_reconciliation__rate,0.18658036642335155
Perspective_Shift__rate,motif__conflict_reconciliation_verification__rate,0.0003250659660394683
Conflict_of_Perspectives__rate,Question_and_Answering__rate,0.01308983894753295
Conflict_of_Perspectives__rate,Perspective_Shift__rate,0.41620462383770557
Conflict_of_Perspectives__rate,Conflict_of_Perspectives__rate,1.0
Conflict_of_Perspectives__rate,Reconciliation__rate,0.3310254587889744
Conflict_of_Perspectives__rate,verification__rate,0.08780667242968623
Conflict_of_Perspectives__rate,backtracking__rate,0.565180260921375
Conflict_of_Perspectives__rate,subgoal__rate,-0.12057468051804715
Conflict_of_Perspectives__rate,backward_chaining__rate,0.02792277532592751
Conflict_of_Perspectives__rate,D_to_D__rate,0.6048253994492085
Conflict_of_Perspectives__rate,D_to_E__rate,0.44873064280832603
Conflict_of_Perspectives__rate,E_to_D__rate,0.463810559076875
Conflict_of_Perspectives__rate,E_to_E__rate,0.08113261512873887
Conflict_of_Perspectives__rate,perspective_to_reconciliation__rate,0.12267523566854503
Conflict_of_Perspectives__rate,question_to_subgoal__rate,0.05096711802311291
Conflict_of_Perspectives__rate,perspective_to_verification__rate,0.2474387577172761
Conflict_of_Perspectives__rate,conflict_to_verification__rate,0.42563049836243017
Conflict_of_Perspectives__rate,conflict_to_reconciliation__rate,0.4262012566905664
Conflict_of_Perspectives__rate,verification_to_backtracking__rate,0.4778407388559514
Conflict_of_Perspectives__rate,backtracking_to_subgoal__rate,0.2883205269987674
Conflict_of_Perspectives__rate,reconciliation_to_verification__rate,0.0809200973335618
Conflict_of_Perspectives__rate,conflict_verification_backtracking__rate,0.3286995071656098
Conflict_of_Perspectives__rate,verification_backtracking_subgoal__rate,0.20149042219310478
Conflict_of_Perspectives__rate,perspective_conflict_reconciliation__rate,0.24773918640223022
Conflict_of_Perspectives__rate,conflict_reconciliation_verification__rate,0.14699721327664889
Conflict_of_Perspectives__rate,motif__question_to_subgoal__rate,0.05096711802311291
Conflict_of_Perspectives__rate,motif__perspective_to_verification__rate,0.2474387577172761
Conflict_of_Perspectives__rate,motif__conflict_to_verification__rate,0.42563049836243017
Conflict_of_Perspectives__rate,motif__conflict_to_reconciliation__rate,0.4262012566905664
Conflict_of_Perspectives__rate,motif__verification_to_backtracking__rate,0.4778407388559514
Conflict_of_Perspectives__rate,motif__backtracking_to_subgoal__rate,0.2883205269987674
Conflict_of_Perspectives__rate,motif__reconciliation_to_verification__rate,0.0809200973335618
Conflict_of_Perspectives__rate,motif__conflict_verification_backtracking__rate,0.3286995071656098
Conflict_of_Perspectives__rate,motif__verification_backtracking_subgoal__rate,0.20149042219310478
Conflict_of_Perspectives__rate,motif__perspective_conflict_reconciliation__rate,0.24773918640223022
Conflict_of_Perspectives__rate,motif__conflict_reconciliation_verification__rate,0.14699721327664889
Reconciliation__rate,Question_and_Answering__rate,0.05188854402293513
Reconciliation__rate,Perspective_Shift__rate,0.253570714181441
Reconciliation__rate,Conflict_of_Perspectives__rate,0.3310254587889744
Reconciliation__rate,Reconciliation__rate,1.0
Reconciliation__rate,verification__rate,-0.02167309639430947
Reconciliation__rate,backtracking__rate,0.06501501989503602
Reconciliation__rate,subgoal__rate,-0.053527298617048226
Reconciliation__rate,backward_chaining__rate,-0.012718251483031092
Reconciliation__rate,D_to_D__rate,0.3354233721965772
Reconciliation__rate,D_to_E__rate,0.1059025262286608
Reconciliation__rate,E_to_D__rate,0.12686289342169932
Reconciliation__rate,E_to_E__rate,-0.07877658189366486
Reconciliation__rate,perspective_to_reconciliation__rate,0.4690801976205157
Reconciliation__rate,question_to_subgoal__rate,0.04252180795148488
Reconciliation__rate,perspective_to_verification__rate,0.005351251193533203
Reconciliation__rate,conflict_to_verification__rate,0.11193686245122121
Reconciliation__rate,conflict_to_reconciliation__rate,0.5146632824541407
Reconciliation__rate,verification_to_backtracking__rate,0.024299349830803146
Reconciliation__rate,backtracking_to_subgoal__rate,-0.011923338204366337
Reconciliation__rate,reconciliation_to_verification__rate,0.3196028724208177
Reconciliation__rate,conflict_verification_backtracking__rate,0.017310673434955102
Reconciliation__rate,verification_backtracking_subgoal__rate,0.0025304771701836278
Reconciliation__rate,perspective_conflict_reconciliation__rate,0.2620812219528115
Reconciliation__rate,conflict_reconciliation_verification__rate,0.18423422767558031
Reconciliation__rate,motif__question_to_subgoal__rate,0.04252180795148488
Reconciliation__rate,motif__perspective_to_verification__rate,0.005351251193533203
Reconciliation__rate,motif__conflict_to_verification__rate,0.11193686245122121
Reconciliation__rate,motif__conflict_to_reconciliation__rate,0.5146632824541407
Reconciliation__rate,motif__verification_to_backtracking__rate,0.024299349830803146
Reconciliation__rate,motif__backtracking_to_subgoal__rate,-0.011923338204366337
Reconciliation__rate,motif__reconciliation_to_verification__rate,0.3196028724208177
Reconciliation__rate,motif__conflict_verification_backtracking__rate,0.017310673434955102
Reconciliation__rate,motif__verification_backtracking_subgoal__rate,0.0025304771701836278
Reconciliation__rate,motif__perspective_conflict_reconciliation__rate,0.2620812219528115
Reconciliation__rate,motif__conflict_reconciliation_verification__rate,0.18423422767558031
verification__rate,Question_and_Answering__rate,0.30356290712901024
verification__rate,Perspective_Shift__rate,-0.13383172691809656
verification__rate,Conflict_of_Perspectives__rate,0.08780667242968623
verification__rate,Reconciliation__rate,-0.02167309639430947
verification__rate,verification__rate,1.0
verification__rate,backtracking__rate,0.042406271282942706
verification__rate,subgoal__rate,-0.23881031540753983
verification__rate,backward_chaining__rate,0.036425467710445275
verification__rate,D_to_D__rate,0.13107874449522264
verification__rate,D_to_E__rate,0.47355212115267364
verification__rate,E_to_D__rate,0.516872491583271
verification__rate,E_to_E__rate,0.6458912401448516
verification__rate,perspective_to_reconciliation__rate,-0.08693113412854309
verification__rate,question_to_subgoal__rate,-0.06353232353604203
verification__rate,perspective_to_verification__rate,0.45066988937098057
verification__rate,conflict_to_verification__rate,0.3561064780300351
verification__rate,conflict_to_reconciliation__rate,-0.01812175019669263
verification__rate,verification_to_backtracking__rate,0.1749779593034234
verification__rate,backtracking_to_subgoal__rate,0.006131607444941915
verification__rate,reconciliation_to_verification__rate,0.37732995375433265
verification__rate,conflict_verification_backtracking__rate,0.1195383530909418
verification__rate,verification_backtracking_subgoal__rate,0.05321913147169684
verification__rate,perspective_conflict_reconciliation__rate,-0.008968640088900224
verification__rate,conflict_reconciliation_verification__rate,0.1897170599300443
verification__rate,motif__question_to_subgoal__rate,-0.06353232353604203
verification__rate,motif__perspective_to_verification__rate,0.45066988937098057
verification__rate,motif__conflict_to_verification__rate,0.3561064780300351
verification__rate,motif__conflict_to_reconciliation__rate,-0.01812175019669263
verification__rate,motif__verification_to_backtracking__rate,0.1749779593034234
verification__rate,motif__backtracking_to_subgoal__rate,0.006131607444941915
verification__rate,motif__reconciliation_to_verification__rate,0.37732995375433265
verification__rate,motif__conflict_verification_backtracking__rate,0.1195383530909418
verification__rate,motif__verification_backtracking_subgoal__rate,0.05321913147169684
verification__rate,motif__perspective_conflict_reconciliation__rate,-0.008968640088900224
verification__rate,motif__conflict_reconciliation_verification__rate,0.1897170599300443
backtracking__rate,Question_and_Answering__rate,0.018213553708429156
backtracking__rate,Perspective_Shift__rate,0.36997924143815164
backtracking__rate,Conflict_of_Perspectives__rate,0.565180260921375
backtracking__rate,Reconciliation__rate,0.06501501989503602
backtracking__rate,verification__rate,0.042406271282942706
backtracking__rate,backtracking__rate,1.0
backtracking__rate,subgoal__rate,-0.11608374626871706
backtracking__rate,backward_chaining__rate,0.004013431128417862
backtracking__rate,D_to_D__rate,0.4231692885575413
backtracking__rate,D_to_E__rate,0.43370514659541914
backtracking__rate,E_to_D__rate,0.46048360630463814
backtracking__rate,E_to_E__rate,0.1711253971415673
backtracking__rate,perspective_to_reconciliation__rate,0.05049086609826435
backtracking__rate,question_to_subgoal__rate,-0.009203948475390477
backtracking__rate,perspective_to_verification__rate,0.17682635968586946
backtracking__rate,conflict_to_verification__rate,0.13145531440290006
backtracking__rate,conflict_to_reconciliation__rate,0.17486512028914092
backtracking__rate,verification_to_backtracking__rate,0.6931195955619286
backtracking__rate,backtracking_to_subgoal__rate,0.4825074521391107
backtracking__rate,reconciliation_to_verification__rate,0.028557439472201424
backtracking__rate,conflict_verification_backtracking__rate,0.31724403347498425
backtracking__rate,verification_backtracking_subgoal__rate,0.27058894851225235
backtracking__rate,perspective_conflict_reconciliation__rate,0.10582876836896325
backtracking__rate,conflict_reconciliation_verification__rate,0.07453283293161124
backtracking__rate,motif__question_to_subgoal__rate,-0.009203948475390477
backtracking__rate,motif__perspective_to_verification__rate,0.17682635968586946
backtracking__rate,motif__conflict_to_verification__rate,0.13145531440290006
backtracking__rate,motif__conflict_to_reconciliation__rate,0.17486512028914092
backtracking__rate,motif__verification_to_backtracking__rate,0.6931195955619286
backtracking__rate,motif__backtracking_to_subgoal__rate,0.4825074521391107
backtracking__rate,motif__reconciliation_to_verification__rate,0.028557439472201424
backtracking__rate,motif__conflict_verification_backtracking__rate,0.31724403347498425
backtracking__rate,motif__verification_backtracking_subgoal__rate,0.27058894851225235
backtracking__rate,motif__perspective_conflict_reconciliation__rate,0.10582876836896325
backtracking__rate,motif__conflict_reconciliation_verification__rate,0.07453283293161124
subgoal__rate,Question_and_Answering__rate,-0.04144567115709131
subgoal__rate,Perspective_Shift__rate,0.14820452941787407
subgoal__rate,Conflict_of_Perspectives__rate,-0.12057468051804715
subgoal__rate,Reconciliation__rate,-0.053527298617048226
subgoal__rate,verification__rate,-0.23881031540753983
subgoal__rate,backtracking__rate,-0.11608374626871706
subgoal__rate,subgoal__rate,1.0
subgoal__rate,backward_chaining__rate,-0.09339253044784585
subgoal__rate,D_to_D__rate,-0.009825465354196388
subgoal__rate,D_to_E__rate,0.07569819541683169
subgoal__rate,E_to_D__rate,0.04297423125855331
subgoal__rate,E_to_E__rate,0.2957820777136329
subgoal__rate,perspective_to_reconciliation__rate,0.08172471443484482
subgoal__rate,question_to_subgoal__rate,0.24270432449297027
subgoal__rate,perspective_to_verification__rate,-0.03599970071871946
subgoal__rate,conflict_to_verification__rate,-0.15358710092951008
subgoal__rate,conflict_to_reconciliation__rate,0.011564786685100983
subgoal__rate,verification_to_backtracking__rate,-0.1686676046976784
subgoal__rate,backtracking_to_subgoal__rate,0.023482979705172963
subgoal__rate,reconciliation_to_verification__rate,-0.1795722335777567
subgoal__rate,conflict_verification_backtracking__rate,-0.09085979328097356
subgoal__rate,verification_backtracking_subgoal__rate,-0.01642449719965913
subgoal__rate,perspective_conflict_reconciliation__rate,0.041638915830888835
subgoal__rate,conflict_reconciliation_verification__rate,-0.08095046270506943
subgoal__rate,motif__question_to_subgoal__rate,0.24270432449297027
subgoal__rate,motif__perspective_to_verification__rate,-0.03599970071871946
subgoal__rate,motif__conflict_to_verification__rate,-0.15358710092951008
subgoal__rate,motif__conflict_to_reconciliation__rate,0.011564786685100983
subgoal__rate,motif__verification_to_backtracking__rate,-0.1686676046976784
subgoal__rate,motif__backtracking_to_subgoal__rate,0.023482979705172963
subgoal__rate,motif__reconciliation_to_verification__rate,-0.1795722335777567
subgoal__rate,motif__conflict_verification_backtracking__rate,-0.09085979328097356
subgoal__rate,motif__verification_backtracking_subgoal__rate,-0.01642449719965913
subgoal__rate,motif__perspective_conflict_reconciliation__rate,0.041638915830888835
subgoal__rate,motif__conflict_reconciliation_verification__rate,-0.08095046270506943
backward_chaining__rate,Question_and_Answering__rate,-0.02905134101649529
backward_chaining__rate,Perspective_Shift__rate,-0.05564806807359979
backward_chaining__rate,Conflict_of_Perspectives__rate,0.02792277532592751
backward_chaining__rate,Reconciliation__rate,-0.012718251483031092
backward_chaining__rate,verification__rate,0.036425467710445275
backward_chaining__rate,backtracking__rate,0.004013431128417862
backward_chaining__rate,subgoal__rate,-0.09339253044784585
backward_chaining__rate,backward_chaining__rate,1.0
backward_chaining__rate,D_to_D__rate,-0.0456446731398293
backward_chaining__rate,D_to_E__rate,0.04995958151879342
backward_chaining__rate,E_to_D__rate,0.07057118152041306
backward_chaining__rate,E_to_E__rate,0.137711517655739
backward_chaining__rate,perspective_to_reconciliation__rate,-0.019556368393089055
backward_chaining__rate,question_to_subgoal__rate,-0.04192377320942313
backward_chaining__rate,perspective_to_verification__rate,0.008573341167817092
backward_chaining__rate,conflict_to_verification__rate,0.038138637010788304
backward_chaining__rate,conflict_to_reconciliation__rate,0.02727547652886429
backward_chaining__rate,verification_to_backtracking__rate,0.05401524514993277
backward_chaining__rate,backtracking_to_subgoal__rate,0.002061040858846461
backward_chaining__rate,reconciliation_to_verification__rate,-0.0023332028109592636
backward_chaining__rate,conflict_verification_backtracking__rate,0.023782178489659144
backward_chaining__rate,verification_backtracking_subgoal__rate,0.02203127588653632
backward_chaining__rate,perspective_conflict_reconciliation__rate,-0.020260210621029534
backward_chaining__rate,conflict_reconciliation_verification__rate,0.005535375421606033
backward_chaining__rate,motif__question_to_subgoal__rate,-0.04192377320942313
backward_chaining__rate,motif__perspective_to_verification__rate,0.008573341167817092
backward_chaining__rate,motif__conflict_to_verification__rate,0.038138637010788304
backward_chaining__rate,motif__conflict_to_reconciliation__rate,0.02727547652886429
backward_chaining__rate,motif__verification_to_backtracking__rate,0.05401524514993277
backward_chaining__rate,motif__backtracking_to_subgoal__rate,0.002061040858846461
backward_chaining__rate,motif__reconciliation_to_verification__rate,-0.0023332028109592636
backward_chaining__rate,motif__conflict_verification_backtracking__rate,0.023782178489659144
backward_chaining__rate,motif__verification_backtracking_subgoal__rate,0.02203127588653632
backward_chaining__rate,motif__perspective_conflict_reconciliation__rate,-0.020260210621029534
backward_chaining__rate,motif__conflict_reconciliation_verification__rate,0.005535375421606033
D_to_D__rate,Question_and_Answering__rate,0.5227337571396293
D_to_D__rate,Perspective_Shift__rate,0.6351278504416866
D_to_D__rate,Conflict_of_Perspectives__rate,0.6048253994492085
D_to_D__rate,Reconciliation__rate,0.3354233721965772
D_to_D__rate,verification__rate,0.13107874449522264
D_to_D__rate,backtracking__rate,0.4231692885575413
D_to_D__rate,subgoal__rate,-0.009825465354196388
D_to_D__rate,backward_chaining__rate,-0.0456446731398293
D_to_D__rate,D_to_D__rate,1.0
D_to_D__rate,D_to_E__rate,0.7100685680722756
D_to_D__rate,E_to_D__rate,0.6848358223575933
D_to_D__rate,E_to_E__rate,0.1857894428768252
D_to_D__rate,perspective_to_reconciliation__rate,0.2698750775280781
D_to_D__rate,question_to_subgoal__rate,0.31200243740436573
D_to_D__rate,perspective_to_verification__rate,0.37751952776389697
D_to_D__rate,conflict_to_verification__rate,0.15061062248894408
D_to_D__rate,conflict_to_reconciliation__rate,0.2814101741825194
D_to_D__rate,verification_to_backtracking__rate,0.2856055309934674
D_to_D__rate,backtracking_to_subgoal__rate,0.21898796537158116
D_to_D__rate,reconciliation_to_verification__rate,0.08014389584842711
D_to_D__rate,conflict_verification_backtracking__rate,0.1586271474887585
D_to_D__rate,verification_backtracking_subgoal__rate,0.10338594934075873
D_to_D__rate,perspective_conflict_reconciliation__rate,0.26458847965190224
D_to_D__rate,conflict_reconciliation_verification__rate,0.09418558285069473
D_to_D__rate,motif__question_to_subgoal__rate,0.31200243740436573
D_to_D__rate,motif__perspective_to_verification__rate,0.37751952776389697
D_to_D__rate,motif__conflict_to_verification__rate,0.15061062248894408
D_to_D__rate,motif__conflict_to_reconciliation__rate,0.2814101741825194
D_to_D__rate,motif__verification_to_backtracking__rate,0.2856055309934674
D_to_D__rate,motif__backtracking_to_subgoal__rate,0.21898796537158116
D_to_D__rate,motif__reconciliation_to_verification__rate,0.08014389584842711
D_to_D__rate,motif__conflict_verification_backtracking__rate,0.1586271474887585
D_to_D__rate,motif__verification_backtracking_subgoal__rate,0.10338594934075873
D_to_D__rate,motif__perspective_conflict_reconciliation__rate,0.26458847965190224
D_to_D__rate,motif__conflict_reconciliation_verification__rate,0.09418558285069473
D_to_E__rate,Question_and_Answering__rate,0.4211718370736462
D_to_E__rate,Perspective_Shift__rate,0.4522703598806333
D_to_E__rate,Conflict_of_Perspectives__rate,0.44873064280832603
D_to_E__rate,Reconciliation__rate,0.1059025262286608
D_to_E__rate,verification__rate,0.47355212115267364
D_to_E__rate,backtracking__rate,0.43370514659541914
D_to_E__rate,subgoal__rate,0.07569819541683169
D_to_E__rate,backward_chaining__rate,0.04995958151879342
D_to_E__rate,D_to_D__rate,0.7100685680722756
D_to_E__rate,D_to_E__rate,1.0
D_to_E__rate,E_to_D__rate,0.883190236264789
D_to_E__rate,E_to_E__rate,0.564131119514442
D_to_E__rate,perspective_to_reconciliation__rate,0.09844776341779761
D_to_E__rate,question_to_subgoal__rate,0.25572941050285264
D_to_E__rate,perspective_to_verification__rate,0.6598132983828462
D_to_E__rate,conflict_to_verification__rate,0.3014636888966465
D_to_E__rate,conflict_to_reconciliation__rate,0.12364002440680777
D_to_E__rate,verification_to_backtracking__rate,0.37643260668644885
D_to_E__rate,backtracking_to_subgoal__rate,0.2816817650014199
D_to_E__rate,reconciliation_to_verification__rate,0.19443735135545143
D_to_E__rate,conflict_verification_backtracking__rate,0.22945661934370354
D_to_E__rate,verification_backtracking_subgoal__rate,0.16915337553577725
D_to_E__rate,perspective_conflict_reconciliation__rate,0.1567000875727113
D_to_E__rate,conflict_reconciliation_verification__rate,0.15653972025843257
D_to_E__rate,motif__question_to_subgoal__rate,0.25572941050285264
D_to_E__rate,motif__perspective_to_verification__rate,0.6598132983828462
D_to_E__rate,motif__conflict_to_verification__rate,0.3014636888966465
D_to_E__rate,motif__conflict_to_reconciliation__rate,0.12364002440680777
D_to_E__rate,motif__verification_to_backtracking__rate,0.37643260668644885
D_to_E__rate,motif__backtracking_to_subgoal__rate,0.2816817650014199
D_to_E__rate,motif__reconciliation_to_verification__rate,0.19443735135545143
D_to_E__rate,motif__conflict_verification_backtracking__rate,0.22945661934370354
D_to_E__rate,motif__verification_backtracking_subgoal__rate,0.16915337553577725
D_to_E__rate,motif__perspective_conflict_reconciliation__rate,0.1567000875727113
D_to_E__rate,motif__conflict_reconciliation_verification__rate,0.15653972025843257
E_to_D__rate,Question_and_Answering__rate,0.4058018196820697
E_to_D__rate,Perspective_Shift__rate,0.4202823943627903
E_to_D__rate,Conflict_of_Perspectives__rate,0.463810559076875
E_to_D__rate,Reconciliation__rate,0.12686289342169932
E_to_D__rate,verification__rate,0.516872491583271
E_to_D__rate,backtracking__rate,0.46048360630463814
E_to_D__rate,subgoal__rate,0.04297423125855331
E_to_D__rate,backward_chaining__rate,0.07057118152041306
E_to_D__rate,D_to_D__rate,0.6848358223575933
E_to_D__rate,D_to_E__rate,0.883190236264789
E_to_D__rate,E_to_D__rate,1.0
E_to_D__rate,E_to_E__rate,0.5673500481847524
E_to_D__rate,perspective_to_reconciliation__rate,0.11105376676881877
E_to_D__rate,question_to_subgoal__rate,0.18851067009767916
E_to_D__rate,perspective_to_verification__rate,0.5909696015356526
E_to_D__rate,conflict_to_verification__rate,0.31115350713576495
E_to_D__rate,conflict_to_reconciliation__rate,0.1679941771329195
E_to_D__rate,verification_to_backtracking__rate,0.4092781166390113
E_to_D__rate,backtracking_to_subgoal__rate,0.2578740223835522
E_to_D__rate,reconciliation_to_verification__rate,0.18493100524248932
E_to_D__rate,conflict_verification_backtracking__rate,0.23166741825658677
E_to_D__rate,verification_backtracking_subgoal__rate,0.1652193252718254
E_to_D__rate,perspective_conflict_reconciliation__rate,0.1575125055543602
E_to_D__rate,conflict_reconciliation_verification__rate,0.1526801222432726
E_to_D__rate,motif__question_to_subgoal__rate,0.18851067009767916
E_to_D__rate,motif__perspective_to_verification__rate,0.5909696015356526
E_to_D__rate,motif__conflict_to_verification__rate,0.31115350713576495
E_to_D__rate,motif__conflict_to_reconciliation__rate,0.1679941771329195
E_to_D__rate,motif__verification_to_backtracking__rate,0.4092781166390113
E_to_D__rate,motif__backtracking_to_subgoal__rate,0.2578740223835522
E_to_D__rate,motif__reconciliation_to_verification__rate,0.18493100524248932
E_to_D__rate,motif__conflict_verification_backtracking__rate,0.23166741825658677
E_to_D__rate,motif__verification_backtracking_subgoal__rate,0.1652193252718254
E_to_D__rate,motif__perspective_conflict_reconciliation__rate,0.1575125055543602
E_to_D__rate,motif__conflict_reconciliation_verification__rate,0.1526801222432726
E_to_E__rate,Question_and_Answering__rate,0.19450112979932438
E_to_E__rate,Perspective_Shift__rate,0.00969856707372129
E_to_E__rate,Conflict_of_Perspectives__rate,0.08113261512873887
E_to_E__rate,Reconciliation__rate,-0.07877658189366486
E_to_E__rate,verification__rate,0.6458912401448516
E_to_E__rate,backtracking__rate,0.1711253971415673
E_to_E__rate,subgoal__rate,0.2957820777136329
E_to_E__rate,backward_chaining__rate,0.137711517655739
E_to_E__rate,D_to_D__rate,0.1857894428768252
E_to_E__rate,D_to_E__rate,0.564131119514442
E_to_E__rate,E_to_D__rate,0.5673500481847524
E_to_E__rate,E_to_E__rate,1.0
E_to_E__rate,perspective_to_reconciliation__rate,-0.019440635047607152
E_to_E__rate,question_to_subgoal__rate,0.06473692810396076
E_to_E__rate,perspective_to_verification__rate,0.3271666465050589
E_to_E__rate,conflict_to_verification__rate,0.26745804807131923
E_to_E__rate,conflict_to_reconciliation__rate,-0.010877228850385579
E_to_E__rate,verification_to_backtracking__rate,0.2389743995002459
E_to_E__rate,backtracking_to_subgoal__rate,0.15533888424123196
E_to_E__rate,reconciliation_to_verification__rate,0.21295801626013344
E_to_E__rate,conflict_verification_backtracking__rate,0.16028020925453382
E_to_E__rate,verification_backtracking_subgoal__rate,0.12895232233097134
E_to_E__rate,perspective_conflict_reconciliation__rate,0.007854671057407616
E_to_E__rate,conflict_reconciliation_verification__rate,0.125076707966487
E_to_E__rate,motif__question_to_subgoal__rate,0.06473692810396076
E_to_E__rate,motif__perspective_to_verification__rate,0.3271666465050589
E_to_E__rate,motif__conflict_to_verification__rate,0.26745804807131923
E_to_E__rate,motif__conflict_to_reconciliation__rate,-0.010877228850385579
E_to_E__rate,motif__verification_to_backtracking__rate,0.2389743995002459
E_to_E__rate,motif__backtracking_to_subgoal__rate,0.15533888424123196
E_to_E__rate,motif__reconciliation_to_verification__rate,0.21295801626013344
E_to_E__rate,motif__conflict_verification_backtracking__rate,0.16028020925453382
E_to_E__rate,motif__verification_backtracking_subgoal__rate,0.12895232233097134
E_to_E__rate,motif__perspective_conflict_reconciliation__rate,0.007854671057407616
E_to_E__rate,motif__conflict_reconciliation_verification__rate,0.125076707966487
perspective_to_reconciliation__rate,Question_and_Answering__rate,-0.01751223589705496
perspective_to_reconciliation__rate,Perspective_Shift__rate,0.2544812760619939
perspective_to_reconciliation__rate,Conflict_of_Perspectives__rate,0.12267523566854503
perspective_to_reconciliation__rate,Reconciliation__rate,0.4690801976205157
perspective_to_reconciliation__rate,verification__rate,-0.08693113412854309
perspective_to_reconciliation__rate,backtracking__rate,0.05049086609826435
perspective_to_reconciliation__rate,subgoal__rate,0.08172471443484482
perspective_to_reconciliation__rate,backward_chaining__rate,-0.019556368393089055
