feature,missing_rate
D_shape_bin04,0.05621636289629596
D_rate_bin05,0.052598254262584236
D_shape_bin05,0.05621636289629596
D_rate_bin06,0.06607570892316042
D_shape_bin06,0.05621636289629596
D_rate_bin07,0.07141241915788521
D_shape_bin07,0.05621636289629596
D_rate_bin08,0.0530505178417982
D_shape_bin08,0.05621636289629596
D_rate_bin09,0.0954728415720682
D_shape_bin09,0.05621636289629596
D_rate_bin10,0.033331825788069286
D_shape_bin10,0.05621636289629596
D_rate_bin11,0.07453303785446158
D_shape_bin11,0.05621636289629596
D_rate_bin12,0.049929899145221834
D_shape_bin12,0.05621636289629596
D_rate_bin13,0.07317624711681968
D_shape_bin13,0.05621636289629596
D_rate_bin14,0.07457826421238298
D_shape_bin14,0.05621636289629596
D_rate_bin15,0.060286735109221654
D_shape_bin15,0.05621636289629596
D_rate_bin16,0.04916105106055809
D_shape_bin16,0.05621636289629596
D_rate_bin17,0.06856315860883723
D_shape_bin17,0.05621636289629596
D_rate_bin18,0.05223644339921306
D_shape_bin18,0.05621636289629596
D_rate_bin19,0.00809551806792999
D_shape_bin19,0.05621636289629596
E_rate_bin00,9.045271584279318e-05
E_shape_bin00,0.05011080457690742
E_rate_bin01,0.059336981592872325
E_shape_bin01,0.05011080457690742
E_rate_bin02,0.06141739405725657
E_shape_bin02,0.05011080457690742
E_rate_bin03,0.07064357107322147
E_shape_bin03,0.05011080457690742
E_rate_bin04,0.06783953688209489
E_shape_bin04,0.05011080457690742
E_rate_bin05,0.052598254262584236
E_shape_bin05,0.05011080457690742
E_rate_bin06,0.06607570892316042
E_shape_bin06,0.05011080457690742
E_rate_bin07,0.07141241915788521
E_shape_bin07,0.05011080457690742
E_rate_bin08,0.0530505178417982
E_shape_bin08,0.05011080457690742
E_rate_bin09,0.0954728415720682
E_shape_bin09,0.05011080457690742
E_rate_bin10,0.033331825788069286
E_shape_bin10,0.05011080457690742
E_rate_bin11,0.07453303785446158
E_shape_bin11,0.05011080457690742
E_rate_bin12,0.049929899145221834
E_shape_bin12,0.05011080457690742
E_rate_bin13,0.07317624711681968
E_shape_bin13,0.05011080457690742
E_rate_bin14,0.07457826421238298
E_shape_bin14,0.05011080457690742
E_rate_bin15,0.060286735109221654
E_shape_bin15,0.05011080457690742
E_rate_bin16,0.04916105106055809
E_shape_bin16,0.05011080457690742
E_rate_bin17,0.06856315860883723
E_shape_bin17,0.05011080457690742
E_rate_bin18,0.05223644339921306
E_shape_bin18,0.05011080457690742
E_rate_bin19,0.00809551806792999
E_shape_bin19,0.05011080457690742
transition_opportunities,0.0
D_to_D__count,0.0
D_to_D__rate,0.008050291710008593
D_to_E__count,0.0
D_to_E__rate,0.008050291710008593
E_to_D__count,0.0
E_to_D__rate,0.008050291710008593
E_to_E__count,0.0
E_to_E__rate,0.008050291710008593
question_to_subgoal__count,0.0
conflict_to_verification__count,0.0
reconciliation_to_verification__count,0.0
verification_to_backtracking__count,0.0
backtracking_to_subgoal__count,0.0
perspective_to_reconciliation__count,0.0
perspective_to_reconciliation__rate,0.008050291710008593
gen_model,0.0
instance_id,0.0
task_type,0.0
completed,0.0
finish_reason,0.0
n_new_tokens,0.0
thinking_style,0.0
favorable_endpoint,0.032291619555877164
endpoint_kind,0.0
quality_score,0.6244855501786442
safety_harm_score,0.9137985618018181
difficulty_raw,0.4178463208357831
model_family,0.0
analysis_source,0.0
configured_token_budget,0.0
seed,0.0
outcome_raw,0.032291619555877164
outcome_higher_is_better,0.032291619555877164
outcome_type,0.0
outcome_available,0.0
log_tokens,0.0
log_segments,0.0
dialectical_density,9.045271584279318e-05
executive_density,9.045271584279318e-05
sot_core_rate,9.045271584279318e-05
questioning_rate,9.045271584279318e-05
dialectical_diversity,0.0
sot_core_diversity,0.0
executive_diversity,0.0
segment_rows,9.045271584279318e-05
motif__question_to_subgoal,9.045271584279318e-05
source__question_to_subgoal,9.045271584279318e-05
dest__question_to_subgoal,9.045271584279318e-05
motif__perspective_to_verification,9.045271584279318e-05
source__perspective_to_verification,9.045271584279318e-05
dest__perspective_to_verification,9.045271584279318e-05
motif__conflict_to_verification,9.045271584279318e-05
source__conflict_to_verification,9.045271584279318e-05
dest__conflict_to_verification,9.045271584279318e-05
motif__conflict_to_reconciliation,9.045271584279318e-05
source__conflict_to_reconciliation,9.045271584279318e-05
dest__conflict_to_reconciliation,9.045271584279318e-05
motif__verification_to_backtracking,9.045271584279318e-05
source__verification_to_backtracking,9.045271584279318e-05
dest__verification_to_backtracking,9.045271584279318e-05
motif__backtracking_to_subgoal,9.045271584279318e-05
source__backtracking_to_subgoal,9.045271584279318e-05
dest__backtracking_to_subgoal,9.045271584279318e-05
motif__reconciliation_to_verification,9.045271584279318e-05
source__reconciliation_to_verification,9.045271584279318e-05
dest__reconciliation_to_verification,9.045271584279318e-05
motif__conflict_verification_backtracking,9.045271584279318e-05
motif__verification_backtracking_subgoal,9.045271584279318e-05
motif__perspective_conflict_reconciliation,9.045271584279318e-05
motif__conflict_reconciliation_verification,9.045271584279318e-05
question_to_subgoal__rate,9.045271584279318e-05
perspective_to_verification__rate,9.045271584279318e-05
conflict_to_verification__rate,9.045271584279318e-05
conflict_to_reconciliation__rate,9.045271584279318e-05
verification_to_backtracking__rate,9.045271584279318e-05
backtracking_to_subgoal__rate,9.045271584279318e-05
reconciliation_to_verification__rate,9.045271584279318e-05
conflict_verification_backtracking__rate,9.045271584279318e-05
verification_backtracking_subgoal__rate,9.045271584279318e-05
perspective_conflict_reconciliation__rate,9.045271584279318e-05
conflict_reconciliation_verification__rate,9.045271584279318e-05
motif__question_to_subgoal__rate,0.0
motif__perspective_to_verification__rate,0.0
motif__conflict_to_verification__rate,0.0
motif__conflict_to_reconciliation__rate,0.0
motif__verification_to_backtracking__rate,0.0
motif__backtracking_to_subgoal__rate,0.0
motif__reconciliation_to_verification__rate,0.0
motif__conflict_verification_backtracking__rate,0.0
motif__verification_backtracking_subgoal__rate,0.0
motif__perspective_conflict_reconciliation__rate,0.0
motif__conflict_reconciliation_verification__rate,0.0
